
Network Stats for the last 111859 seconds:

Total Sent Spatial Packets: 1401066
Total Requested to Send Spatial Packets: 3730925
Total Sent Actor Motion Hints Packets: 63566
Percentage of Usual Bandwidth Used: 38.65%


Total Sent: 2434336, 0B (261.93MB)
136 ClientCacheMissResponsePacket           135.10MB, Num 30377, Avg 4.55KB
174 SubChunkPacket                          39.73MB, Num 26265, Avg 1.55KB
301 CompressedBiomeDefinitionList           18.08MB, Num 17, Avg 1.06MB
111 MoveActorDeltaPacket                    17.04MB, Num 1401226, Avg 12B
39  SetActorDataPacket                      10.27MB, Num 565166, Avg 19B
13  AddActorPacket                          7.96MB, Num 16275, Avg 0.50KB
29  UpdateAttributesPacket                  6.30MB, Num 74028, Avg 89B
52  CraftingDataPacket                      5.71MB, Num 17, Avg 344.01KB
76  AvailableCommandsPacket                 4.77MB, Num 17, Avg 287.28KB
49  InventoryContentPacket                  2.08MB, Num 6504, Avg 335B
191 FeatureRegistryPacket                   1.94MB, Num 17, Avg 116.88KB
40  SetActorMotionPacket                    1.46MB, Num 97150, Avg 15B
162 ItemRegistryPacket                      1.40MB, Num 17, Avg 84.58KB
67  ClientboundMapItemDataPacket            1.32MB, Num 14955, Avg 92B
58  LevelChunkPacket                        1.31MB, Num 59848, Avg 23B
63  PlayerListPacket                        1.24MB, Num 44, Avg 28.88KB
15  AddItemActorPacket                      1.18MB, Num 4304, Avg 288B
19  MovePlayerPacket                        1.01MB, Num 32902, Avg 32B
123 LevelSoundEventPacket                   0.89MB, Num 26503, Avg 35B
145 CreativeContentPacket                   0.81MB, Num 17, Avg 48.92KB
25  LevelEventPacket                        356.45KB, Num 20596, Avg 17B
313 JigsawStructureDataPacket               319.91KB, Num 17, Avg 18.82KB
172 UpdateSubChunkBlocksPacket              259.38KB, Num 1830, Avg 145B
199 UnlockedRecipesPacket                   227.84KB, Num 35, Avg 6.51KB
121 NetworkChunkPublisherUpdatePacket       208.79KB, Num 7901, Avg 27B
56  BlockActorDataPacket                    174.65KB, Num 1764, Avg 101B
119 AvailableActorIdentifiersPacket         139.10KB, Num 17, Avg 8.18KB
14  RemoveActorPacket                       137.50KB, Num 20137, Avg 6B
31  MobEquipmentPacket                      76.33KB, Num 2596, Avg 30B
21  UpdateBlockPacket                       67.67KB, Num 5303, Avg 13B
30  InventoryTransactionPacket              45.33KB, Num 559, Avg 83B
80  UpdateTradePacket                       37.17KB, Num 13, Avg 2.86KB
